Date : 2022-09-23 10:48:30
Directory : /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend
Total : 170 files,  23782 codes, 75 comments, 1958 blanks, all 25815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/main-bottom-nav/data/main-accessibility-data.js                      | JavaScript         |        109 |          0 |          0 |        109 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/main-bottom-nav/main-accessilbility-nav.js                           | JavaScript         |         54 |          0 |          4 |         58 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/main-bottom-nav/main-bottom-nav.js                                   | JavaScript         |         19 |          0 |          4 |         23 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/sub-bottom-nav/contact-info.js                                       | JavaScript         |         74 |          0 |          2 |         76 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/sub-bottom-nav/data/sub-accessibility-data.js                        | JavaScript         |         35 |          0 |          1 |         36 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/sub-bottom-nav/data/sub-link-menu-data.js                            | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/footer/sub-bottom-nav/sub-bottom-nav.js                                     | JavaScript         |         38 |          1 |          5 |         44 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/header.js                                                            | JavaScript         |         86 |          0 |         20 |        106 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/account-button.js                                        | JavaScript         |        204 |         13 |         26 |        243 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/address-selection-button.js                              | JavaScript         |         27 |          0 |          5 |         32 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/cart-button.js                                           | JavaScript         |         27 |          0 |          5 |         32 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/check-order-button.js                                    | JavaScript         |         23 |          0 |          4 |         27 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/country-selection-button.js                              | JavaScript         |         56 |          0 |          8 |         64 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/hamburger-menu.js                                        | JavaScript         |        253 |          0 |         35 |        288 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/logo-button.js                                           | JavaScript         |         31 |          1 |          4 |         36 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/main-navbar.js                                           | JavaScript         |         52 |          0 |         12 |         64 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/search-bar/formik-search-category.js                     | JavaScript         |        115 |          0 |         19 |        134 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/search-bar/formik-search-input.js                        | JavaScript         |         39 |          0 |          8 |         47 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/main-navbar/search-bar/search-bar.js                                 | JavaScript         |         64 |          0 |         14 |         78 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/styled-list-item-text.js                                             | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/sub-navbar/all-tab/all-tab-collapse-list-item.js                     | JavaScript         |         49 |          0 |         10 |         59 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/sub-navbar/all-tab/all-tab-drawer.js                                 | JavaScript         |        156 |          0 |         23 |        179 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/sub-navbar/all-tab/all-tab-list-item.js                              | JavaScript         |         39 |          0 |          8 |         47 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/sub-navbar/all-tab/data/all-tab-data.js                              | JavaScript         |        123 |          0 |          2 |        125 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/header/sub-navbar/sub-navbar.js                                             | JavaScript         |         95 |          0 |         10 |        105 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/home/amazon-prime-dialog.js                                                 | JavaScript         |         29 |          0 |          7 |         36 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/home/banner.js                                                              | JavaScript         |         48 |          0 |          3 |         51 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/home/main-product-card.js                                                   | JavaScript         |         35 |          0 |          6 |         41 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/home/main-product-info.js                                                   | JavaScript         |         71 |          6 |          5 |         82 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/my-profile/change-password-form.js                                          | JavaScript         |        140 |          0 |         18 |        158 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/my-profile/confirm-delete-dialog.js                                         | JavaScript         |         53 |          0 |         10 |         63 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/my-profile/edit-profile-form.js                                             | JavaScript         |        153 |          0 |         21 |        174 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/my-profile/my-profile-card.js                                               | JavaScript         |        174 |          3 |         33 |        210 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/my-profile/my-profile-info.js                                               | JavaScript         |         33 |          0 |         12 |         45 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-details/order-details-info.js                                         | JavaScript         |         69 |          0 |         21 |         90 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-details/order-details-items.js                                        | JavaScript         |         22 |          0 |          7 |         29 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-details/order-details-summary.js                                      | JavaScript         |        101 |          0 |         21 |        122 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-details/payment-info.js                                               | JavaScript         |         34 |          0 |          8 |         42 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-history/order-history-info.js                                         | JavaScript         |        128 |          0 |         22 |        150 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-history/order-history-summary.js                                      | JavaScript         |        101 |          0 |         22 |        123 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order-history/order-panel-list.js                                           | JavaScript         |        131 |          0 |         19 |        150 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/order/order-item-list.js                                                    | JavaScript         |        109 |          0 |         17 |        126 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/buy-product-card.js                                          | JavaScript         |         95 |          6 |         17 |        118 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/product-detail-images.js                                     | JavaScript         |         31 |          0 |          3 |         34 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/product-detail-info/buy-product-box.js                       | JavaScript         |         91 |          5 |         18 |        114 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/product-detail-info/product-description.js                   | JavaScript         |         71 |          0 |         10 |         81 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/product-detail-info/product-detail-info.js                   | JavaScript         |         66 |          0 |          9 |         75 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/review-overview/product-details-review.js                    | JavaScript         |         30 |          0 |          5 |         35 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product-detail/review-overview/review-overview-item-list.js                 | JavaScript         |        100 |          0 |         19 |        119 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product/product-card.js                                                     | JavaScript         |        124 |          0 |         19 |        143 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product/product-info.js                                                     | JavaScript         |         26 |          0 |          4 |         30 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product/product-page-title.js                                               | JavaScript         |         55 |          0 |         12 |         67 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/product/product-rating-star.js                                              | JavaScript         |         41 |          0 |          7 |         48 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/edit-review-form.js                                                  | JavaScript         |        146 |          0 |         20 |        166 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/review-card.js                                                       | JavaScript         |        138 |          0 |         21 |        159 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/review-info.js                                                       | JavaScript         |        122 |          0 |         17 |        139 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/review-panel-list.js                                                 | JavaScript         |         23 |          0 |          4 |         27 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/review-product-form.js                                               | JavaScript         |        145 |          0 |         21 |        166 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/review-rating-star.js                                                | JavaScript         |         23 |          0 |          5 |         28 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/reviewable-panel-list.js                                             | JavaScript         |         26 |          0 |          5 |         31 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/review/reviewable-product-card.js                                           | JavaScript         |         48 |          0 |          9 |         57 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/customized-snackbar.js                                                   | JavaScript         |         60 |          0 |         13 |         73 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/dialog/confirm-close-dialog.js                                           | JavaScript         |         29 |          0 |          7 |         36 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/dogs-info/error-info.js                                                  | JavaScript         |         19 |          0 |          4 |         23 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/dogs-info/no-item-info.js                                                | JavaScript         |         26 |          0 |          5 |         31 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/dogs-info/no-page-info.js                                                | JavaScript         |         18 |          0 |          3 |         21 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/dogs-info/no-search-item-info.js                                         | JavaScript         |         24 |          0 |          5 |         29 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/error-message.js                                                   | JavaScript         |         15 |          0 |          4 |         19 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/form-error-message.js                                              | JavaScript         |          6 |          0 |          0 |          6 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/form-schema.js                                                     | JavaScript         |         83 |          0 |         19 |        102 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-date.js                                                     | JavaScript         |         42 |          0 |          8 |         50 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-email.js                                                    | JavaScript         |         32 |          0 |          8 |         40 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-hidden.js                                                   | JavaScript         |         13 |          0 |          4 |         17 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-number.js                                                   | JavaScript         |         28 |          0 |          9 |         37 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-otp.js                                                      | JavaScript         |         28 |          0 |          6 |         34 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-password.js                                                 | JavaScript         |         53 |          0 |          7 |         60 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-radio.js                                                    | JavaScript         |         51 |          0 |         10 |         61 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-rating.js                                                   | JavaScript         |         50 |          0 |         12 |         62 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-select.js                                                   | JavaScript         |         37 |          0 |          6 |         43 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-submit-button.js                                            | JavaScript         |         19 |          0 |          5 |         24 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/forms/formik-text-field.js                                               | JavaScript         |         21 |          0 |          6 |         27 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/layout.js                                                                | JavaScript         |         30 |          0 |          9 |         39 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/logo-button-white.js                                                     | JavaScript         |         29 |          0 |          2 |         31 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/page-title/page-title-breadcrumbs.js                                     | JavaScript         |         84 |          0 |         13 |         97 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/page-title/page-title.js                                                 | JavaScript         |         25 |          0 |          7 |         32 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/pageSpinner.js                                                           | JavaScript         |         11 |          0 |          2 |         13 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/pagination-buttons.js                                                    | JavaScript         |         27 |          0 |          8 |         35 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/please-login-card.js                                                     | JavaScript         |         43 |          0 |          8 |         51 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/revalidating-info.js                                                     | JavaScript         |         14 |          0 |          3 |         17 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/stock-label.js                                                           | JavaScript         |         50 |          0 |          5 |         55 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/ui/theme.js                                                                 | JavaScript         |         11 |          0 |          2 |         13 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/wallet/add-credit-card-form.js                                              | JavaScript         |        206 |          0 |         29 |        235 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/wallet/wallet-card.js                                                       | JavaScript         |        130 |          0 |         23 |        153 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/components/wallet/wallet-info.js                                                       | JavaScript         |         87 |          0 |         17 |        104 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/next.config.js                                                                         | JavaScript         |         21 |          7 |          2 |         30 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/package-lock.json                                                                      | JSON               |     12,574 |          0 |          1 |     12,575 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/package.json                                                                           | JSON               |         47 |          0 |          1 |         48 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/404.js                                                                           | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/_app.js                                                                          | JavaScript         |         26 |          0 |          5 |         31 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/address.js                                                               | JavaScript         |         20 |          0 |          5 |         25 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/index.js                                                                 | JavaScript         |         20 |          0 |          4 |         24 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/my-profile.js                                                            | JavaScript         |         20 |          0 |          5 |         25 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/order-history/[orderId].js                                               | JavaScript         |         59 |          0 |          9 |         68 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/order-history/index.js                                                   | JavaScript         |         20 |          0 |          5 |         25 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/review.js                                                                | JavaScript         |         20 |          0 |          5 |         25 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/account/wallet.js                                                                | JavaScript         |         20 |          0 |          5 |         25 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/auth/forgot-password.js                                                          | JavaScript         |         92 |          0 |         15 |        107 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/auth/login.js                                                                    | JavaScript         |        215 |          0 |         38 |        253 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/auth/reset-password.js                                                           | JavaScript         |        124 |          0 |         21 |        145 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/auth/sign-up.js                                                                  | JavaScript         |        225 |          0 |         38 |        263 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/auth/verify-user.js                                                              | JavaScript         |        139 |          0 |         23 |        162 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/cart/checkout.js                                                                 | JavaScript         |         19 |          0 |          4 |         23 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/cart/index.js                                                                    | JavaScript         |         20 |          0 |          4 |         24 |
| /Users/david/Development/Personal project/Amazon Clone/amazon-clone-frontend/pages/index.js                                                                         | JavaScript         |         16 |          0 |          5 |         21 |
